PR;RED;CARRETERA;TRAMO;LONGITUD;pk i;pk f;"ANCHURA
ASF
(m.)";"ESTAC.
AFORO"
P;B;CL-615;DE VILLALDAVÍN (P-960) A VILLOLDO (CL-615a);10.36;15.38;25.74;10.3;PA-1090
P;B;CL-615;DE VILLOLDO (C-615a) A CARRIÓN DE LOS CONDES (N-120a);10.89;25.74;36.63;10.3;PA-0100
P;B;CL-615;DE SALDAÑA (P-235) A P-225;4.36;58.59;62.95;9.2;PA-1120
P;B;CL-615;DE P-225 A (PP-2298) FRESNO DEL RÍO;16.88;62.95;79.83;10.0;PA-3700
P;B;CL-619;DE MAGAZ DE PISUERGA (N-620) A BALTANÁS (P-131);15.14;0.0;15.14;9.2;PA-1190
P;B;CL-626;DE LÍMITE PROVINCIA DE LEÓN A GUARDO (CL-615);7.6;169.5;177.1;7.8;PA-3240
P;B;CL-626;DE P-213 (SALINAS DE PISUERGA) A AGUILAR DE CAMPOO (N-611a);13.0;225.1;238.1;8.0;PA-1360
P;B;CL-627;DE SAN SALVADOR DE CANTAMUDA  A LÍMITE DE C.A. DE CANTABRIA;14.921;14.753;29.674;6.0;PA-1265
P;P;P-103;DE LÍMITE DE PROVINCIA DE VALLADOLID A LÍMITE DE PROVINCIA DE VALLADOLID;7.6;8.3;15.9;8.0;PA-4690
P;P;P-215;DE GUARDO (CL-626) A VELILLA DE RÍO CARRIÓN (P-210);3.339;0.0;3.339;8.95;PA-4135
P;P;P-220;AGUILAR DE CAMPOO A BARRUELO;14.5;0.0;14.5;8.0;PA-4370
P;P;P-220;BARRUELO A BRAÑOSERA;4.17;14.5;18.67;6.0;PA-4370
P;P;P-230;DE SOTOBAÑADO (P-233) A P-225;21.065;9.185;30.25;7.0;PA-4395
P;P;P-405;DE PALENCIA (AVDA. CUBA) A A-65 (PALENCIA);0.85;0.0;0.85;8.3;
P;P;P-405;DE A-65 PALENCIA A VILLALOBÓN (P-410);1.93;0.85;2.78;9.0;PA-4145
P;P;P-405;DE P-412 A LÍMITE DE PROVINCIA DE BURGOS;5.62;29.8;35.42;7.1;BU-4320
P;P;P-900;DE PALENCIA A N-611;5.615;0.0;5.615;7.3;PA-1505
P;P;P-901;DE AMPUDIA (P-904) A VILLERÍAS DE CAMPOS (CL-612);6.85;24.25;31.1;5.2;PA-4515
P;P;P-953;DE LA VENTA (CL-615) A FUENTE DE NAVA (P-940) POR BECERRIL;19.59;0.0;19.59;8.0;PA-4790
P;P;P-980;DE CARRIÓN DE LOS CONDES (N-120) A VILLALCÁZAR DE SIRGA (P-981);5.59;0.0;5.59;8.0;PA-4650
P;L;P-102;DE P-110 A LÍMITE PROVINCIA DE VALLADOLID;3.575;1.975;5.55;7.2;VA-4205
P;L;P-110;DE CEVICO DE LA TORRE (P-131) A HÉRMEDES DEL CERRATO (P-114);21.52;10.1;31.62;5.0;PA-4290
P;L;P-131;DE VALLE DE CERRATO (P-121)  A BALTANÁS (CL-619);11.905;6.275;18.18;4.8;PA-4305
P;L;P-131;DE BALTANÁS (CL-619) A PALENZUELA (N-622);23.68;18.18;41.86;4.3;PA-4320
P;L;P-131;DE PALENZUELA (N-622) A N-620;4.93;41.86;46.79;5.1;PA-4320
P;L;P-143;DE P-141 A LÍMITE DE PROVINCIA DE BURGOS;13.38;0.0;13.38;4.8;PA-4770
P;L;P-210;DE P-211 A CARDAÑO DE ABAJO (P-217);30.68;2.67;33.35;6.4;PA-4340
P;L;P-212;DE P-210 A REBANAL DE LAS LLANTAS;3.95;0.0;3.95;4.6;PA-4340
P;L;P-217;DE CARDAÑO DE ABAJO (P-210) A CARDAÑO DE ARRIBA;4.74;0.0;4.74;4.6;PA-4340
P;L;P-231;DE VILLANUÑO DE VALDAVIA A HERRERA DE PISUERGA (P-230);18.62;0.0;18.62;5.2;PA-4400
P;L;P-232;DE N-611 A SOTOBAÑADO (P-230);17.07;0.0;17.07;5.0;PA-4405
P;L;P-236;DE VILLAHERREROS (N-120) A VILLANUÑO DE VALDAVIA (P-231);14.99;0.0;14.99;8.2;PA-4710
P;L;P-236;DE VILLANUÑO DE VALDAVIA (P-231) A VILLAELES DE VALDAVIA (P-230);8.6;14.99;23.59;8.2;PA-4720
P;L;P-241;DE CARRIÓN DE LOS CONDES A P-240;15.0;0.0;15.0;5.2;PA-4420
P;L;P-243;DE ROBLADILLO DE UCIEZA (P-242) A VILLAMORCO;2.543;0.0;2.543;4.2;PA-4425
P;L;P-245;DE OSORNO (N-120) A VILLASARRACINO (P-236);10.69;0.0;10.69;5.5;PA-4410
P;L;P-403;DE P-431 A LÍMITE DE PROVINCIA DE BURGOS;11.64;0.0;11.64;4.8;PA-4490
P;L;P-410;DE VILLALOBÓN (P-405) A VALDEOLMILLOS (P-411);9.765;0.0;9.765;5.9;PA-4440
P;L;P-411;DE VALDEOLMILLOS (P-410) A TORQUEMADA (P-412);9.19;6.48;15.67;4.8;PA-4440
P;L;P-420;DE AMUSCO (N-611) A VALDESPINA (P-430);5.525;0.0;5.525;4.8;PA-4470
P;L;P-610;DE ALAR DEL REY (N-611) A LÍMITE DE PROVINCIA DE BURGOS;3.82;0.0;3.82;5.6;BU-4470
P;L;P-933;DE FRECHILLA (P-924) A AUTILLO DE CAMPOS (P-953);6.046;0.0;6.046;5.0;PA-4555
P;L;P-943;DE AMPUDIA (P-901) A LÍMITE DE PROVINCIA DE VALLADOLID;6.31;0.0;6.31;5.0;PA-4795
P;L;P-952;DE FUENTES DE NAVA (P-953) A PAREDES DE NAVA (P-924);9.947;0.0;9.947;8.0;PA-4595
P;L;P-954;DE A-65 A GRIJOTA (CL-613);4.024;0.0;4.024;5.4;PA-4785
P;L;P-960;DE VILLALDAVÍN (CL-615) A PAREDES DE NAVA (CL-613a);10.31;0.0;10.31;4.6;PA-4590
P;L;P-961;DE PAREDES DE NAVA (CL-613) A CL-615;11.03;0.0;11.03;6.0;PA-4610
P;L;P-963;DE VILLAFOLFO (P-961) A CERVATOS DE LA CUEZA (N-120);15.7;0.0;15.7;5.1;PA-4620
P;L;P-970;DE FRECHILLA (P-924) A CISNEROS (CL-613);9.2;0.0;9.2;5.0;PA-4570
P;L;P-970;DE CISNEROS (CL-613)  A LEDIGOS (N-120) POR SAN ROMÁN DE LA CUBA;16.35;9.2;25.55;5.3;PA-4625
SA;B;CL-517;DE  SA-305 A VITIGUDINO (SA-315);33.61;29.55;63.16;8.7;SA-1095
SA;B;CL-517;DE VITIGUDINO (SA-315) A LUMBRALES;26.46;63.16;89.62;7.9;SA-1100
SA;B;CL-526;DE DSA-360 A ROBLEDA;12.2;13.74;25.94;8.0;SA-3490
SA;B;CL-605;DE CANTALAPIEDRA (SA-810) A SA-801;8.5;100.2;108.7;8.0;SA-3170
SA;P;SA-100;DE N-630 A LÍMITE DE PROVINCIA DE ÁVILA;5.505;0.0;5.505;7.5;SA-4005
SA;P;SA-105;DE PEÑARANDA DE BRACAMONTE (N-501) A SA-113 (MACOTERA);10.11;0.0;10.11;8.0;SA-4470
SA;P;SA-114;DE PEÑARANDA DE BRACAMONTE A CL-510 (ALBA DE TORMES);27.71;0.0;27.71;8.0;SA-1215
SA;P;SA-201;DE TAMAMES (SA-215) A EL CABACO (SA-220);11.2;0.0;11.2;7.0;SA-1240
SA;P;SA-201;DE EL CABACO (SA-220) A LA ALBERCA (DSA-260);9.7;11.2;20.9;7.15;SA-4235
SA;P;SA-212;DE GUIJUELO (N-630) A LINARES DE RIOFRÍO (SA-205);24.51;0.0;24.51;6.5;SA-1500
SA;P;SA-212;DE LINARES DE RIOFRÍO (SA-205) A TAMAMES (SA-210);19.14;24.66;43.8;6.5;SA-4505
SA;P;SA-220;DE SA-225 A SA-215;17.15;32.6;49.75;7.0;SA-4125
SA;P;SA-220;DE MORASVERDES A CIUDAD RODRIGO (N-620);23.665;70.55;94.215;7.0;SA-4085
SA;P;SA-305;DE LA FUENTE DE SAN ESTEBAN (SA-315) A SANDO;23.9;0.0;23.9;7.0;SA-4385
SA;P;SA-311;DE LEDESMA A SA-306;5.38;0.0;5.38;6.3;SA-4160
SA;P;SA-315;DE N-620 A VITIGUDINO (CL-517);30.49;0.0;30.49;8.0;SA-4135
SA;P;SA-315;DE TRABANCA (SA-316) A SA-302;2.85;57.75;60.6;7.0;SA-4280
SA;P;SA-315;DE SA-302 A INICIO PRESA ALMENDRA;3.538;60.6;64.138;6.0;ZA-4435
